Product Name,Specification,Price
"HP Elitebook 665 G11 16"" WUXGA Touch Laptop",AMD Ryzen 5 7535U - 16GB RAM - 512GB SSD - Win 11 Pro - 3Y Onsite warranty,"1,769.00"
"Dell Latitude 5000 Series 5550 Business Laptop 15.6"" FHD",Intel Core Ultra 7 165U - 16GB RAM - 512GB SSD - Win 11 Pro - 1Y Warranty,"2,368.45"
"Apple Macbook Pro 16"" Laptop with M3 Max Chip - Silver",48GB Unified Memory - 1TB SSD - 16-Core CPU - 40-Core GPU - 16-inch Liquid Retina XDR Display - 140W USB-C Power Adapter,"6,499.00"
"ASUS Zenbook S 16 UM5606KA 16"" 3K 120Hz OLED",AMD Ryzen AI 7 350 - 16GB RAM - 1TB SSD - Win 11 Pro - BE WiFi7 + BT5.4 - IR Cam - USB4 (with PD & DP) - HDMI2.1 TMDS - SD Reader - 1yr warranty,"3,199.00"
"HP EliteBook 840 G10 Business Laptop 14"" WUXGA",Intel Core i5-1335U - 16GB RAM - 512GB SSD - Win 11 Pro - AX WiFi 6E vPro + BT5.3 - 3Y NBD Onsite Warranty,"2,137.68"
"Dell Latitude 5000 Series 5450 Business Laptop 14"" FHD",Intel Core Ultra 7 155U - 16GB RAM - 512GB SSD - Win 11 Pro - 1Y PB Warranty,"2,293.24"
"HP EliteBook 1040 G11 14"" FHD AG 400nits Business Laptop",Intel Core U7-165H - vPro - 16GB RAM - 512GB SSD - AX WiFi 6E + BT5.3 - FPR - IR Cam - Win 11 Pro - 3Y NBD Onsite Warranty,"3,382.36"
"HP ProBook 465 G11 Business Laptop 16"" WUXGA",AMD Ryzen 7 7735U - 16GB RAM - 256GB SSD - Win 11 Pro - 1Y Onsite Warranty,"2,035.50"
"HP Elitebook Ultra G1 14"" 2.2K Copilot+ PC",12 Cores Qualcomm Snapdragon X Elite - 16GB RAM - 512GB SSD - Qualcomm Adreno GPU - Win 11 Pro - 3Y Onsite Warranty - WiFi & BT - IR Webcam - USB-C (PD & DP1.4),"2,586.00"
"HP EliteBook 665 G11 Business Laptop 16"" WUXGA",AMD Ryzen 5 7535U - 16GB RAM - 256GB SSD - Win 11 Pro - AX WiFi 6E + BT5.3 - FPR - 3Y NBD Onsite Warranty,"1,380.00"
"HP ProBook 440 G11 Business Laptop 14"" WUXGA",Intel Core Ultra 5-125U - 32GB RAM - 1TB SSD - Win 11 Pro - 1Y Onsite Warranty,"1,926.25"
"HP EliteBook 840 G11 LTE Business Laptop 14"" FHD AG 300nits Touch",Intel Core U5-135U - vPro - 16GB RAM - 512GB SSD - Win 11 Pro - AX WiFi 6E + BT5.3 - FPR - IR Cam - 3Y NBD Onsite Warranty,"2,760.00"
"Apple MacBook Air 15"" Laptop with M3 Chip - Silver",16GB Unified Memory - 512GB SSD - 8-Core CPU - 10-Core GPU - 16-Core Neural Engine - 15.3 Inch Liquid Retina Display with TrueTone - 35W Dual USB-C Charger,"2,645.00"
"HP EliteBook 630 G11 Business Laptop 13.3"" WUXGA",Intel Core Ultra 7 155U - 16GB RAM - 512GB SSD - Win 11 Pro - AX WiFi 6E + BT5.3 - 3Y NBD Onsite Warranty,"2,078.00"
"Acer Extensa 15 EX215-55 15.6"" FHD Intel Core i5-1235U - 8GB RAM - 256GB SSD - Win 11 Pro",- AC WiFi 6 + BT - Webcam - HDMI2.1 - 3Y Warranty,"1,155.00"
"HP ZBook Power G11 Mobile Workstation 16"" FHD Touch",Intel Core Ultra 7 155H - 32GB RAM - 1TB SSD - RTX A3000 Ada - Win 11 Pro - AX WiFi 6E + BT5.3 - FPR - IR Webcam - 3Y NBD Onsite Warranty,"4,421.61"
"Apple Macbook Pro 16"" Laptop with M3 Pro Chip - CTO - - Silver",18GB Unified Memory - 1TB SSD - 12-Core CPU - 18-Core GPU - 16-inch Liquid Retina XDR Display - 140W USB-C Power Adapter,"4,599.00"
